epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.6524,1.71811,0.82143,1,0.78482,0.00024543,0.00024543,0.00024543
2,30.3949,0.66803,0.9375,1,0.13327,0.000490051,0.000490051,0.000490051
3,46.1153,0.28059,1,1,0.01716,0.000724593,0.000724593,0.000724593
4,59.9263,0.16149,0.875,1,0.2229,0.000855005,0.000855005,0.000855005
5,73.9437,0.18688,1,1,0.00764,0.000837007,0.000837007,0.000837007
6,87.1468,0.1841,1,1,0.00068,0.000819009,0.000819009,0.000819009
7,101.41,0.1061,0.94643,1,0.10307,0.000801011,0.000801011,0.000801011
8,118.726,0.12165,1,1,0.0064,0.000783013,0.000783013,0.000783013
9,132.873,0.11152,1,1,0.00503,0.000765014,0.000765014,0.000765014
10,147.62,0.08969,1,1,0.0009,0.000747016,0.000747016,0.000747016
11,161.325,0.04426,1,1,0.00172,0.000729018,0.000729018,0.000729018
12,174.679,0.09004,1,1,0.00282,0.00071102,0.00071102,0.00071102
13,190.183,0.06856,1,1,0.00089,0.000693022,0.000693022,0.000693022
14,204.603,0.09854,1,1,0.00361,0.000675023,0.000675023,0.000675023
15,218.385,0.0708,1,1,0.00176,0.000657025,0.000657025,0.000657025
16,233.621,0.07594,1,1,0.00224,0.000639027,0.000639027,0.000639027
17,247.307,0.10295,1,1,0.00031,0.000621029,0.000621029,0.000621029
18,262.627,0.07141,1,1,0.00053,0.000603031,0.000603031,0.000603031
19,276.889,0.05851,1,1,0.0065,0.000585032,0.000585032,0.000585032
20,290.492,0.03862,1,1,0.0004,0.000567034,0.000567034,0.000567034
21,303.093,0.06454,1,1,0.00018,0.000549036,0.000549036,0.000549036
22,317.697,0.03997,1,1,0.00024,0.000531038,0.000531038,0.000531038
23,331.455,0.03674,1,1,0.0001,0.00051304,0.00051304,0.00051304
24,344.625,0.03309,1,1,4e-05,0.000495041,0.000495041,0.000495041
25,357.48,0.01632,1,1,0.00011,0.000477043,0.000477043,0.000477043
26,370.511,0.04192,1,1,0.00026,0.000459045,0.000459045,0.000459045
27,383.626,0.03224,1,1,4e-05,0.000441047,0.000441047,0.000441047
28,396.825,0.0369,1,1,0.00011,0.000423049,0.000423049,0.000423049
29,409.916,0.06809,1,1,0.00205,0.00040505,0.00040505,0.00040505
30,423.221,0.02091,1,1,0.00169,0.000387052,0.000387052,0.000387052
31,436.132,0.03254,1,1,0.00217,0.000369054,0.000369054,0.000369054
32,449.393,0.0469,1,1,3e-05,0.000351056,0.000351056,0.000351056
33,462.362,0.03724,1,1,7e-05,0.000333058,0.000333058,0.000333058
34,475.671,0.02691,1,1,9e-05,0.000315059,0.000315059,0.000315059
35,488.56,0.01107,1,1,1e-05,0.000297061,0.000297061,0.000297061
36,501.35,0.03205,1,1,1e-05,0.000279063,0.000279063,0.000279063
37,513.615,0.02471,1,1,1e-05,0.000261065,0.000261065,0.000261065
38,525.983,0.0474,1,1,3e-05,0.000243067,0.000243067,0.000243067
39,538.477,0.02587,1,1,5e-05,0.000225068,0.000225068,0.000225068
40,550.573,0.03801,1,1,3e-05,0.00020707,0.00020707,0.00020707
41,562.908,0.01956,1,1,9e-05,0.000189072,0.000189072,0.000189072
42,575.012,0.00826,1,1,4e-05,0.000171074,0.000171074,0.000171074
43,587.337,0.02624,1,1,2e-05,0.000153076,0.000153076,0.000153076
44,599.808,0.00696,1,1,1e-05,0.000135077,0.000135077,0.000135077
45,611.902,0.00988,1,1,2e-05,0.000117079,0.000117079,0.000117079
46,624.11,0.01427,1,1,1e-05,9.9081e-05,9.9081e-05,9.9081e-05
47,636.252,0.02365,1,1,1e-05,8.10828e-05,8.10828e-05,8.10828e-05
48,648.515,0.01858,1,1,1e-05,6.30846e-05,6.30846e-05,6.30846e-05
49,660.989,0.02705,1,1,1e-05,4.50864e-05,4.50864e-05,4.50864e-05
50,673.223,0.02005,1,1,1e-05,2.70882e-05,2.70882e-05,2.70882e-05
